station_id,station_name,station_brand,longitude,latitude
node/1713488174,Opet,Opet,29.1235487,40.9783258
node/1755203245,Total,TotalEnergies,29.0919078,40.9835054
node/1830235496,Unknown Station,Unknown Brand,28.4916451,41.2275004
node/1905650685,Opet,Opet,29.2403352,40.8815155
node/1905900747,Shell,Shell,29.2328762,40.8756773
node/1907466158,Türkiye Petrolleri,Türkiye Petrolleri,29.3692152,40.8988275
node/1907466259,Türkiye Petrolleri,Türkiye Petrolleri,29.3609713,40.9085841
node/1920258400,Petrol Ofisi,Petrol Ofisi,29.0768296,41.0492898
node/2257504633,Aytemiz,Aytemiz,29.1026273,40.9676174
node/2257505250,BP,BP,29.1033193,40.9664225
node/2257506320,Total,TotalEnergies,29.1047838,40.966139
node/2264750239,Shell,Shell,29.1556729,41.0370814
node/2277832475,Alpet Gürpınar,Alpet,28.6252197,40.9961049
node/2363493667,Unknown Station,Unknown Brand,29.323905,40.8358408
node/2392806044,Unknown Station,Unknown Brand,28.4656276,41.1351115
node/2392806726,Unknown Station,Unknown Brand,28.4545528,41.1579646
node/2392806728,Unknown Station,Unknown Brand,28.4540224,41.1580163
node/2392986716,Opet,Opet,29.074591,41.0156405
node/2392986717,Shell,Shell,29.0760902,41.0167626
node/2429198871,Total,TotalEnergies,28.832275,41.041378
node/2610629148,Shell,Shell,29.2399111,40.8868524
node/2716711598,Shell Şenlikköy,Shell,28.7960684,40.9879309
node/2861685236,Shell,Shell,27.996901,41.0948934
node/2861685291,Unknown Station,Unknown Brand,27.9997462,41.0957083
node/2928531148,Opet,Opet,28.7135734,40.9994399
node/2999419474,Shell,Shell,29.083573,40.97084
node/3095087044,Unknown Station,Unknown Brand,29.3438026,41.0880723
node/3130909268,Opet,Opet,28.8816979,41.0080248
node/3170739257,Shell - Karma Grup,Shell,28.6651997,40.9897124
node/3474488522,BP,BP,29.0975854,41.0947275
node/3474488524,Shell,Shell,29.0708251,41.0799651
node/3474488526,Unknown Station,Unknown Brand,29.0770445,41.081143
node/3728846486,Kurtuluş Total,Unknown Brand,28.9783544,41.0446779
node/3790969409,Opet,Opet,29.0234658,41.1175416
node/3955643614,Shell,Shell,29.1410698,40.937381
node/3996188487,BP,BP,28.6884886,41.0601831
node/3996189675,BP,BP,28.6880999,41.0600444
node/4165097565,Best House rental of apartment,Best,29.0237229,41.0501819
node/4255747089,Aytemiz,Aytemiz,28.9508759,41.062944
node/4303169790,Türkiye Petrolleri,Unknown Brand,28.7940823,41.0800851
node/4309080389,Petrol Ofisi,Petrol Ofisi,29.3550994,40.893878
node/4371188639,Petrol Ofisi,Petrol Ofisi,29.2901302,41.101313
node/4371188640,Shell,Shell,29.2878451,41.0920655
node/4416266553,Petrol Ofisi,Petrol Ofisi,29.2016649,41.0085765
node/4419028247,occidental pees hotel Istanbul,Occidental,28.9758177,41.0337252
node/4442145256,Opet,Opet,29.2553456,40.8811477
node/4527983519,Shell-Arpet Petrol,Shell,28.5374571,41.0079948
node/4580488790,Shell,Shell,29.1811831,40.8892845
node/4699018047,Opet Sultanbeyli,Opet,29.282842,40.9612
node/4699018050,Opet Pendik,Opet,29.2951636,40.9093711
node/4699018051,Opet Hoşdere Petrol,Opet,28.652694,41.080441
node/4699018057,Opet Küçükçekmece Halkalı,Opet,28.8065018,41.0292155
node/4699018077,Petrol Ofisi,Petrol Ofisi,29.0752818,41.0112488
node/4699018204,Opet Bakırköy,Opet,28.883948,40.9877235
node/4699018205,Opet Beyoğlu,Opet,28.967225,41.041235
node/4699018213,Opet Tuzla,Opet,29.3433329,40.9076681
node/4699018226,Opet Bahçelievler Çobançeşme,Opet,28.8272163,40.9930848
node/4699018227,Opet Bağcılar,Opet,28.8405747,41.0547206
node/4699018229,Opet Ümraniye,Opet,29.1159204,41.0225022
node/4699018232,Aytemiz,Aytemiz,28.7307071,41.0582146
node/4699018234,Opet,Opet,28.686603,41.023118
node/4699018235,Shell,Shell,29.2853766,40.9053415
node/4699018244,Petrol Ofisi,Petrol Ofisi,29.02304,41.00829
node/4699018247,Opet,Opet,29.2323267,40.881089
node/4699018248,Petrol Ofisi,Petrol Ofisi,29.17731,40.891269
node/4699018252,Opet Beylikdüzü,Opet,28.6052587,40.99775
node/4699018254,Opet Esenler Fevzi Çakmak,Opet,28.8768088,41.0490769
node/4699018255,Opet Bağcılar,Opet,28.859748,41.0477
node/4699018264,Opet Beylikdüzü,Opet,28.668452,40.989872
node/4699018265,Opet Bahçelievler,Opet,28.828365,41.0115506
node/4699018282,Opet Kartal,Opet,29.191968,40.912108
node/4699018284,Opet Esenyurt Güzelyurt,Opet,28.6676766,41.006514
node/4699018420,Opet Sultangazi,Opet,28.826931,41.131936
node/4699018428,Petrol Ofisi,Petrol Ofisi,29.2527557,40.9067741
node/4699018475,Mehmetçik Petrol,Unknown Brand,28.883817,41.032443
node/4699018488,Opet Maltepe,Opet,29.1438714,40.9426842
node/4699018911,Opet Silivri,Opet,28.036584,41.083953
node/4699018931,Opet Silivri Büyükçavuşlu Rüya Petrol,Opet,28.0378966,41.2493765
node/4699018940,Opet İkitelli,Opet,28.78946,41.060352
node/4699018970,Opet Çekmeköy,Opet,29.310702,41.109934
node/4699019343,Opet Bağcılar Göztepe,Opet,28.8410873,41.0601373
node/4699019354,Opet,Opet,28.984989,41.048424
node/4699019360,Opet Ümraniye,Opet,29.2016636,41.0079553
node/4699019379,Opet Ataşehir,Opet,29.106104,40.982402
node/4699019380,Opet Arnavutköy,Opet,28.597697,41.183317
node/4699019947,Opet Pendik,Opet,29.2470027,40.9015949
node/4699019952,Opet Esenyurt,Opet,28.62848,41.05038
node/4699019968,Opet,Opet,29.2490574,40.895696
node/4699019969,Opet Tuzla,Opet,29.3348073,40.866335
node/4699020193,Opet Beykoz,Opet,29.090877,41.094793
node/4699020197,Opet Tuzla,Opet Petrolcülük A.Ş.,29.371641,40.871794
node/4699020285,Opet Tuzla,Opet,29.2960611,40.8374032
node/4699022949,Opet Sultanbeyli,Opet,29.2531294,40.9681282
node/4699022950,Opet Kartal,Opet,29.211534,40.9104
node/4699022951,Opet Ümraniye,Opet,29.165959,40.98387
node/4699022952,Opet Pendik,Opet,29.2815455,40.859498
node/4699022953,Opet Ataşehir,Opet,29.143805,40.987731
node/4699022955,Opet Bağcılar,Opet,28.812081,41.050131
node/4699022956,Opet Topkapı,Opet,28.9088162,41.019717
node/4699022960,Opet Islah Petrol,Opet,28.728262,41.205103
node/4699022962,Opet,Opet,29.079681,41.031458
node/4699022963,Opet Esenkent,Opet,28.6719297,41.0554191
node/4699022965,Opet Tuzla,Opet,29.349287,40.883978
node/4699022966,Shell Sabiha Gökçen,Shell,29.3175598,40.9266858
node/4699022970,Opet Ümraniye,Opet,29.2159064,41.008467
node/4699022971,Opet Büyükçekmece,Opet,28.621961,41.064034
node/4699022975,Opet Pendik,Opet,29.233194,40.891373
node/4699022981,Shell,Shell,28.790782,41.028799
node/4699023892,Opet Sancaktepe,Opet,29.244293,41.007237
node/4699023902,Opet Şile,Opet,29.628344,41.156979
node/4699023905,Opet Sancaktepe,Opet,29.2206066,40.9776
node/4699023914,Opet Sultanbeyli,Opet,29.263793,40.990082
node/4699023919,Opet Esenyurt,Opet,28.6462917,41.0179351
node/4699023920,Opet Büyükçekmece Kamiloba,Opet,28.4457793,41.0353809
node/4699023925,Opet,Opet,29.2418964,40.8865592
node/4699023930,Opet Üsküdar,Opet,29.012243,41.009864
node/4699023934,Opet Pendik,Opet,29.286563,40.885945
node/4699023938,Opet Bağcılar,Opet,28.8574214,41.0275113
node/4718176989,Petrol Ofisi - Bulut Petrol,Petrol Ofisi,29.151085,40.9240928
node/4718388547,Opet,Opet,29.138014,40.9377236
node/4718388548,Shell,Shell,29.1361722,40.9388796
node/4718388549,Total,TotalEnergies,29.1332185,40.9397682
node/4718485057,Unknown Station,Unknown Brand,29.1476072,40.9202486
node/4718488092,Shell,Shell,29.1953199,40.9111444
node/4718488093,Unknown Station,Unknown Brand,29.2027174,40.9089065
node/4718488098,Shell,Shell,29.2174843,40.902499
node/4718488104,Total,TotalEnergies,29.2284918,40.8943224
node/4718712547,Opet,Opet,29.2786929,40.904372
node/4718712560,Total,TotalEnergies,29.2933732,40.9079618
node/4718712575,Petrol Ofisi,Petrol Ofisi,29.303618,40.914902
node/4719094364,Unknown Station,Unknown Brand,28.4703103,41.1327928
node/4720232022,Shell,Shell,29.1988693,40.8940497
node/4720232036,Unknown Station,Unknown Brand,29.2912778,40.856096
