sensor,n_points,centroid_lat,centroid_lon,max_brightness,sum_frp,max_frp,earliest_detection,latest_detection,duration_hours,centroid_area_label,dataset,region,month
modis,3,36.95516666666666,40.25176666666667,323.8,158.7,66.7,2025-06-28 17:41:00,2025-06-28 17:41:00,0.0,Mardin,clstrd_20250625_35d_turkey,Mardin,2025-06-01
viirs,3,40.85324,33.93254,,158.06,74.31,2025-07-29 10:52:00,2025-07-29 11:15:00,0.3833333333333333,Çankiri,clstrd_20250625_35d_turkey,Çankiri,2025-07-01
viirs,9,37.52759888888889,31.30461666666666,,156.92,33.57,2025-07-01 09:58:00,2025-07-01 11:16:00,1.3,Isparta,clstrd_20250625_35d_turkey,Isparta,2025-07-01
viirs,7,51.56222,31.75130142857143,,156.39,36.56,2023-03-18 10:55:00,2023-03-18 11:43:00,0.8,Chernihiv,clstrd_20221001_180d_ukraine,Chernihiv,2023-03-01
viirs,5,37.340654,36.878112,,155.19,41.59,2025-06-26 09:29:00,2025-06-26 09:29:00,0.0,Gaziantep,clstrd_20250625_35d_turkey,Gaziantep,2025-06-01
modis,2,48.6349,39.47085,351.0,155.0,93.1,2023-03-24 10:51:00,2023-03-24 10:51:00,0.0,Luhans'k,clstrd_20221001_180d_ukraine,Luhans'k,2023-03-01
viirs,9,47.2074,31.77567333333333,,152.1,37.13,2023-02-08 10:14:00,2023-02-08 11:54:00,1.6666666666666667,Mykolayiv,clstrd_20221001_180d_ukraine,Mykolayiv,2023-02-01
modis,2,50.5771,31.19675,320.9,151.8,80.7,2023-03-02 11:43:00,2023-03-02 11:43:00,0.0,Chernihiv,clstrd_20221001_180d_ukraine,Chernihiv,2023-03-01
viirs,3,48.10787666666667,39.50127666666666,,150.1,81.96,2023-03-24 10:41:00,2023-03-24 10:41:00,0.0,Luhans'k,clstrd_20221001_180d_ukraine,Luhans'k,2023-03-01
viirs,12,38.39852166666667,29.6871775,,148.6,14.79,2025-07-24 23:04:00,2025-07-24 23:27:00,0.3833333333333333,Denizli,clstrd_20250625_35d_turkey,Denizli,2025-07-01
viirs,6,41.44140166666666,27.873676666666668,,143.51,28.71,2025-07-14 12:14:00,2025-07-14 12:14:00,0.0,Tekirdag,clstrd_20250625_35d_turkey,Tekirdag,2025-07-01
viirs,4,49.663555,36.8678075,,142.44,35.61,2023-03-23 11:00:00,2023-03-23 11:00:00,0.0,Kharkiv,clstrd_20221001_180d_ukraine,Kharkiv,2023-03-01
viirs,7,37.06265857142858,40.312108571428574,,141.81,41.23,2025-07-02 09:16:00,2025-07-02 09:39:00,0.3833333333333333,Mardin,clstrd_20250625_35d_turkey,Mardin,2025-07-01
viirs,12,38.414203333333326,37.87769833333333,,140.82,20.03,2025-07-28 09:30:00,2025-07-28 11:33:00,2.05,Malatya,clstrd_20250625_35d_turkey,Malatya,2025-07-01
viirs,9,38.85464666666666,29.29411666666667,,140.70999999999998,22.75,2025-07-02 10:58:00,2025-07-02 11:20:00,0.3666666666666666,Kütahya,clstrd_20250625_35d_turkey,Kütahya,2025-07-01
viirs,14,51.046275714285706,30.20797142857143,,139.09,13.45,2023-03-18 09:15:00,2023-03-18 10:55:00,1.6666666666666667,Kiev,clstrd_20221001_180d_ukraine,Kiev,2023-03-01
viirs,15,36.31275866666667,36.11680866666666,,138.16000000000005,13.35,2025-06-30 22:37:00,2025-07-01 00:17:00,1.6666666666666667,Hatay,clstrd_20250625_35d_turkey,Hatay,2025-06-01
